,Age,BirthDate,BirthPlace,Cabin,Destination,Embarked,FirstName,Job,LastName,MaritalStatus,Nationality,Pclass,Relationships,Residence,Sex,Ticket,Title,UrlId,Survived
0,16,1896-02-21,,,"
Destination:       
      East Providence, Rhode Island, United States
",Southampton,Rossmore Edward,Jeweller,Abbott,Single,English,3rd Class Passenger,"['/titanic-victim/eugene-joseph-abbott.html', '/titanic-survivor/rhoda-mary-rosa-abbott.html']","East Providence, Rhode Island, United States",Male,"
Ticket No. CA2673, £20  5s ",Mr,/titanic-victim/rossmore-edward-abbott.html,0.0
1,41,1870-05-11,"Cincinnati, Ohio, United States",,"
Destination:       
      Cincinnati, Ohio, United States
",Southampton,Anthony,Blacksmith,Abbing,Single,American,3rd Class Passenger,[],"Cincinnati, Ohio, United States",Male,"
Ticket No. 5547, £7  11s ",Mr,/titanic-victim/anthony-abbing.html,0.0
2,21,1891,"Southampton, Hampshire, England",,,Southampton,Ernest Owen,Lounge Pantry Steward,Abbott,Single,English,Victualling Crew,[],"Southampton, Hampshire, England",Male,,Mr,/titanic-victim/ernest-owen-abbott.html,0.0
3,13,1899-03-31,"Providence, Rhode Island, United States",,"
Destination:       
      East Providence, Rhode Island, United States
",Southampton,Eugene Joseph,Scholar,Abbott,,American,3rd Class Passenger,"['/titanic-survivor/rhoda-mary-rosa-abbott.html', '/titanic-victim/rossmore-edward-abbott.html']","East Providence, Rhode Island, United States",Male,"
Ticket No. CA2673, £20  5s ",Mr,/titanic-victim/eugene-joseph-abbott.html,0.0
4,30,1882,,,"
Destination:       
      New York City, New York, United States
",Cherbourg,Samuel,,Abelson,,Russian,2nd Class Passenger,['/titanic-survivor/abelson.html'],"Paris, France",Male,"
Ticket No. 3381, £24 ",Mr,/titanic-victim/samuel-abelson.html,0.0
5,45,1867,"Tuḥūm, Syria",,"
Destination:       
      Youngstown, Ohio, United States
",Cherbourg,Jirjis Yūsuf,Shoemaker,Abī sa'b,,Syrian,3rd Class Passenger,['/titanic-victim/tannous-thomas-tannous.html'],"Hardīn, Batroun, Syria",Male,"
Ticket No. 2685, £7  4s  6d",Mr,/titanic-victim/gerios-yousseff-abi-saab.html,0.0
6,19,1893,,,"
Destination:       
      Kulpmont, Pennsylvania, United States
",Cherbourg,Dāhir,,Abī shadīd,,Syrian,3rd Class Passenger,[],,Male,"
Ticket No. 2698, £7  4s  6d",Mr,/titanic-victim/daher-shedid.html,0.0
7,34,1878,"Gosport, Hampshire, England",,,Southampton,William Thomas,Fireman,Abrams,Married,English,Engineering Crew,[],"Southampton, Hampshire, England",Male,,Mr,/titanic-victim/william-thomas-abrams.html,0.0
8,26,1885-06-07,"Southampton, Hampshire, England",,,Southampton,Robert John,Fireman,Adams,Single,English,Engineering Crew,[],"Southampton, Hampshire, England",Male,,Mr,/titanic-victim/r-adams.html,0.0
9,26,1885,"Pancrasweek, Devon, England",,"
Destination:       
      La Porte City, Iowa, United States
",Southampton,John,,Adams,,English,3rd Class Passenger,[],"Bournemouth, Hampshire, England",Male,"
Ticket No. 341826, £8  1s ",Mr,/titanic-victim/john-adams.html,0.0
10,30,1881-06-15,"Asarum, Småland, Sweden",,"
Destination:       
      Brooklyn, New York, United States
",Southampton,Mauritz,Carpenter / Joiner,Ådahl,Married,Swedish,3rd Class Passenger,[],"Asarum, Småland, Sweden",Male,"
Ticket No. 7076, £7  5s ",Mr,/titanic-victim/mauritz-adahl.html,0.0
11,20,1892-01-08,"St. Helier, Jersey, Channel Islands",,,Southampton,Percy Snowden,Saloon Steward,Ahier,Single,Channel Islander,Victualling Crew,[],"Southampton, Hampshire, England",Male,,Mr,/titanic-victim/percy-snowden-ahier.html,0.0
12,24,1888,,,,Southampton,Ali,General Labourer,Ahmed,,Syrian,3rd Class Passenger,[],"Buenos Aires, Pampas, Argentina",Male,"
Ticket No. 3101311, £7  1s ",Mr,/titanic-victim/ahmed-ali.html,0.0
